City,Population,MedianIncome,PopulationWithHighSchoolDiploma,PopulationWithAssociatesDegree,PopulationWithBachelorsDegree,PopulationWithHighSpeedInternet,Latitude,Longitude
"Adamstown, MD",4859.0,121250.0,677.0,370.0,722.0,1963,39.3070006,-77.4692955
"Adamstown, PA",1239.0,62554.0,398.0,105.0,84.0,1753,40.244477,-76.064701
"Adamsville, AL",7344.0,50473.0,1608.0,339.0,589.0,3892,33.6023153,-86.97152690000001
"Adamsville, OH",1173.0,54797.0,253.0,31.0,42.0,121,40.0688929,-81.8826365
"Adamsville, PA",340.0,68125.0,140.0,24.0,29.0,70,41.51110720000001,-80.3714708
"Adamsville, TN",6291.0,36098.0,1626.0,293.0,538.0,1966,35.2375291,-88.3783826
"Addieville, IL",1332.0,67321.0,227.0,165.0,131.0,253,38.391299,-89.4864546
"Addington, OK",151.0,49167.0,24.0,13.0,9.0,108,34.2430906,-97.9661022
"Addis, LA",5274.0,77819.0,1012.0,253.0,546.0,3441,30.369535100000004,-91.2636479
"Addison, AL",2786.0,42648.0,765.0,228.0,109.0,709,34.2026811,-87.1780043
"Addison, IL",38856.0,67525.0,7431.0,2246.0,4274.0,36560,41.9307823,-88.0089873
"Addison, MI",2415.0,48833.0,696.0,268.0,165.0,606,41.9858873,-84.3490763
"Addison, NY",5328.0,54167.0,1195.0,457.0,306.0,1732,42.106321,-77.23198990000002
"Addison, PA",613.0,53472.0,165.0,42.0,76.0,46,39.7452465,-79.33434940000002
"Addison, TX",14992.0,72512.0,1187.0,846.0,4294.0,14211,32.9637444,-96.83380490000002
"Addy, WA",1418.0,43207.0,393.0,73.0,80.0,274,48.3589079,-117.8371874
"Addyston, OH",685.0,44500.0,178.0,38.0,37.0,969,39.1381226,-84.7128341
"Adel, GA",10835.0,47666.0,2088.0,753.0,692.0,4844,31.1248108,-83.4254673
"Adel, IA",7714.0,92644.0,847.0,613.0,1746.0,4011,41.609388,-94.0126633
"Adelanto, CA",34250.0,44574.0,4455.0,1123.0,807.0,31863,34.580901700000005,-117.4394577
"Adell, WI",1882.0,72578.0,529.0,174.0,182.0,521,43.6203544,-87.94588590000002
"Adelphi, OH",329.0,43036.0,117.0,6.0,3.0,381,39.4644974,-82.74610679999998
"Adena, OH",1918.0,59643.0,621.0,200.0,97.0,741,40.2166634,-80.87621
"Adin, CA",389.0,50288.0,115.0,17.0,28.0,223,41.1993122,-120.95677859999998
"Adjuntas, PR",17113.0,14361.0,2952.0,1141.0,1729.0,3397,18.1637775,-66.7235375
"Admire, KS",166.0,51607.0,23.0,13.0,21.0,161,38.6409949,-96.1020087
"Adona, AR",777.0,27067.0,265.0,13.0,12.0,61,35.0399305,-92.8991318
"Adrian, GA",3065.0,32097.0,781.0,120.0,102.0,683,32.5299512,-82.591509
"Adrian, MI",40423.0,47952.0,8509.0,1974.0,3095.0,19644,41.8987804,-84.04482890000001
"Adrian, MN",1825.0,61354.0,447.0,165.0,136.0,1223,43.63355960000001,-95.9328036
"Adrian, MO",3452.0,52109.0,1008.0,217.0,195.0,1486,38.3963302,-94.3429537
"Adrian, OR",710.0,41875.0,118.0,51.0,81.0,178,43.740826,-117.0708824
"Adrian, TX",178.0,68750.0,49.0,3.0,37.0,166,35.2741188,-102.6672465
"Advance, MO",3616.0,41579.0,781.0,125.0,205.0,1215,37.1037491,-89.9117217
"Advance, NC",14329.0,81411.0,2409.0,1053.0,2653.0,1168,35.94583439999999,-80.3921738
"Afton, IA",1760.0,65962.0,379.0,154.0,254.0,842,41.0275888,-94.1952964
"Afton, MN",3038.0,119457.0,289.0,142.0,778.0,3550,44.8987758,-92.8191076
"Afton, NY",2687.0,58864.0,786.0,154.0,196.0,786,42.2291991,-75.52475009999998
"Afton, OK",7223.0,44951.0,1321.0,521.0,759.0,1031,36.696535,-94.9574632
"Afton, VA",3876.0,87824.0,706.0,210.0,816.0,337,38.0221638,-78.8334454
"Afton, WY",4871.0,67008.0,674.0,191.0,399.0,1929,42.72634,-110.932032
"Agar, SD",100.0,46875.0,28.0,8.0,14.0,74,44.839735,-100.0734499
"Agency, IA",1123.0,46615.0,273.0,116.0,122.0,639,40.9969788,-92.3072848
"Agency, MO",1248.0,68920.0,323.0,56.0,150.0,460,39.6554558,-94.7483328
"Agenda, KS",248.0,43929.0,66.0,18.0,27.0,68,39.7065672,-97.4322389
