City,Population,MedianIncome,PopulationWithHighSchoolDiploma,PopulationWithAssociatesDegree,PopulationWithBachelorsDegree,PopulationWithHighSpeedInternet,Latitude,Longitude
"Clarendon, AR",1610.0,26406.0,421.0,59.0,119.0,932,34.6947247,-91.3061242
"Clarendon, PA",1776.0,45913.0,631.0,92.0,75.0,395,41.7806148,-79.09400809999998
"Clarendon, TX",2861.0,45026.0,519.0,129.0,217.0,1698,34.936913200000006,-100.8921114
"Clarinda, IA",7006.0,53438.0,1438.0,682.0,642.0,4712,40.7377066,-95.0337477
"Clarion, IA",3383.0,48024.0,764.0,338.0,238.0,2506,42.7319711,-93.7298079
"Clarion, PA",10114.0,37961.0,1782.0,528.0,1073.0,3951,41.20944470000001,-79.3800868
"Clarissa, MN",1467.0,51953.0,375.0,102.0,95.0,676,46.12846070000001,-94.9490762
"Clarita, OK",63.0,17708.0,25.0,0.0,0.0,10,34.4841179,-96.4448834
"Clark Fork, ID",1304.0,22625.0,388.0,60.0,84.0,582,48.148019,-116.1729884
"Clark Mills, NY",819.0,50373.0,201.0,42.0,116.0,1899,43.0845791,-75.376112
"Clark, MO",2540.0,50729.0,423.0,162.0,203.0,299,39.2796745,-92.359593
"Clark, PA",475.0,73125.0,128.0,65.0,35.0,374,41.2877248,-80.4047321
"Clark, SD",1928.0,39946.0,543.0,148.0,214.0,1133,44.8809106,-97.7348391
"Clarkdale, AZ",4271.0,49383.0,1083.0,304.0,330.0,2997,34.7479791,-112.0586994
"Clarkedale, AR",59.0,39306.0,1.0,0.0,2.0,224,35.2970283,-90.21025
"Clarkesville, GA",12465.0,52409.0,2268.0,730.0,1440.0,1501,34.60928870000001,-83.52747020000002
"Clarkfield, MN",1435.0,55000.0,249.0,144.0,152.0,758,44.790726,-95.8078453
"Clarkrange, TN",2709.0,41109.0,473.0,268.0,435.0,587,36.18571970000001,-85.0096046
"Clarks Grove, MN",962.0,59306.0,192.0,118.0,76.0,693,43.76269179999999,-93.328035
"Clarks Hill, SC",1702.0,55521.0,267.0,107.0,150.0,366,33.6581755,-82.1659954
"Clarks Summit, PA",21878.0,80340.0,3403.0,1352.0,4227.0,4989,41.4902375,-75.7065089
"Clarks, NE",820.0,54712.0,160.0,65.0,86.0,370,41.2162695,-97.839488
"Clarksburg, CA",1321.0,95000.0,186.0,98.0,237.0,82,38.4193354,-121.5416175
"Clarksburg, MD",18628.0,128862.0,1233.0,924.0,3929.0,14459,39.2228933,-77.2660793
"Clarksburg, MO",672.0,45917.0,152.0,26.0,56.0,345,38.6613198,-92.666496
"Clarksburg, OH",1587.0,57788.0,328.0,64.0,203.0,452,39.5058492,-83.1541748
"Clarksburg, WV",28770.0,44873.0,7156.0,1700.0,2073.0,16467,39.2702965,-80.36178659999999
"Clarksdale, MO",810.0,59306.0,310.0,56.0,62.0,247,39.8138486,-94.5507681
"Clarksdale, MS",17812.0,30669.0,2054.0,1387.0,1249.0,14120,34.1937959,-90.5685976
"Clarkson, KY",4776.0,40554.0,1014.0,222.0,216.0,664,37.4929035,-86.2270453
"Clarkson, NE",1179.0,59500.0,247.0,126.0,124.0,593,41.7234244,-97.1215197
"Clarkston, GA",23493.0,36961.0,2793.0,656.0,2069.0,12531,33.8134889,-84.2418503
"Clarkston, UT",666.0,59531.0,173.0,14.0,56.0,716,41.920471,-112.0503575
"Clarkston, WA",20489.0,53079.0,3107.0,1677.0,2063.0,7261,46.415405,-117.050135
"Clarksville, AR",15704.0,38985.0,2956.0,523.0,967.0,6383,35.4539181,-93.4815577
"Clarksville, IA",2306.0,60278.0,656.0,245.0,147.0,1312,42.7792376,-92.6684083
"Clarksville, IN",19684.0,43479.0,4778.0,1321.0,1653.0,22521,38.3220818,-85.76757640000002
"Clarksville, MI",2424.0,70313.0,524.0,133.0,275.0,332,42.8420906,-85.2425395
"Clarksville, MO",1242.0,55417.0,283.0,38.0,154.0,20,39.36950170000001,-90.9048959
"Clarksville, OH",3956.0,71469.0,1234.0,204.0,213.0,548,39.4017805,-83.9889005
"Clarksville, PA",1728.0,54524.0,470.0,175.0,230.0,227,39.9743959,-80.043902
"Clarksville, TN",178601.0,58762.0,26259.0,11455.0,21228.0,134612,36.56643029999999,-87.3452162
"Clarksville, TX",4393.0,34790.0,1218.0,250.0,317.0,2766,33.610958000000004,-95.0563217
"Clarksville, VA",4074.0,51875.0,576.0,286.0,746.0,1233,36.6182279,-78.5645258
"Clarkton, MO",1683.0,36923.0,324.0,115.0,39.0,1055,36.4520448,-89.968088
"Clarkton, NC",5228.0,32379.0,998.0,349.0,217.0,837,34.4886469,-78.6558491
"Clatonia, NE",603.0,57500.0,77.0,57.0,60.0,232,40.46536939999999,-96.8512081
"Clatskanie, OR",6224.0,45910.0,1366.0,456.0,407.0,1825,46.10465470000001,-123.204468
"Claude, TX",1871.0,72981.0,265.0,137.0,197.0,1126,35.1073672,-101.362882
"Clawson, MI",11910.0,68183.0,1960.0,909.0,2396.0,10622,42.5366722,-83.150409
"Clawson, UT",122.0,63750.0,41.0,6.0,16.0,106,39.131395,-111.0989315
"Claxton, GA",10768.0,43750.0,2328.0,391.0,690.0,2460,32.1620748,-81.90965920000002
"Clay Center, KS",5553.0,52536.0,1224.0,339.0,707.0,4026,39.3811819,-97.1273715
"Clay Center, NE",1009.0,61875.0,189.0,112.0,109.0,692,40.525471,-98.0549955
"Clay Center, OH",294.0,53750.0,110.0,15.0,3.0,219,41.5730879,-83.364124
"Clay City, IL",1888.0,48958.0,340.0,160.0,162.0,375,38.685793200000006,-88.34862120000003
"Clay City, IN",2305.0,41290.0,574.0,192.0,140.0,811,39.2769861,-87.11270999999998
"Clay City, KY",5122.0,31733.0,1017.0,198.0,347.0,531,37.8607604,-83.92970129999998
"Clay Springs, AZ",620.0,39926.0,111.0,45.0,28.0,380,34.3592594,-110.3043338
"Clay, KY",2399.0,37760.0,704.0,179.0,119.0,1173,37.4758596,-87.82031070000002
"Clay, WV",1554.0,36042.0,482.0,31.0,31.0,322,38.4614566,-81.0849099
"Claymont, DE",15362.0,59823.0,3129.0,762.0,1889.0,8212,39.8031713,-75.4604823
"Claypool, IN",3924.0,51552.0,1134.0,223.0,255.0,441,41.1307576,-85.8822723
"Claysburg, PA",4060.0,45983.0,1442.0,285.0,183.0,961,40.2914463,-78.4514144
"Claysville, PA",4583.0,62286.0,1523.0,364.0,397.0,828,40.12064390000001,-80.4132747
"Clayton, AL",4951.0,33263.0,1122.0,208.0,228.0,118,31.8822767,-85.4604536
"Clayton, CA",13687.0,150032.0,1075.0,781.0,3342.0,11931,37.9403215,-121.93007450000002
"Clayton, DE",8856.0,75276.0,2179.0,563.0,715.0,3224,39.2740588,-75.6315293
"Clayton, GA",7730.0,40140.0,1538.0,376.0,820.0,1610,34.8766296,-83.4032561
"Clayton, ID",16.0,-666666666.0,6.0,7.0,0.0,7,44.2592023,-114.3831076
"Clayton, IL",1112.0,47059.0,303.0,78.0,37.0,710,40.0305635,-90.9579993
"Clayton, IN",5068.0,70341.0,1197.0,291.0,595.0,1117,39.6893463,-86.5235386
"Clayton, LA",752.0,40000.0,161.0,35.0,7.0,2,31.7221586,-91.5345673
"Clayton, MI",2088.0,53309.0,596.0,117.0,161.0,338,41.8648659,-84.2347615
"Clayton, NC",67724.0,80816.5,8098.0,6285.0,9784.0,16503,35.6524492,-78.4485387
"Clayton, NJ",8366.0,68398.0,1646.0,615.0,1054.0,7960,39.6640632,-75.07439709999998
"Clayton, NM",3468.0,35347.0,1025.0,132.0,125.0,2212,36.4460334,-103.148863
"Clayton, NY",5305.0,68869.0,1039.0,560.0,502.0,1975,44.23748670000001,-76.0827342
"Clayton, OH",3977.0,80607.0,627.0,255.0,564.0,11711,39.8695412,-84.32543759999999
"Clayton, OK",1586.0,39464.0,351.0,101.0,88.0,426,34.5861287,-95.3557457
"Clayton, WA",1839.0,41935.0,443.0,108.0,138.0,457,48.0012217,-117.5611547
"Clayton, WI",2207.0,59259.0,625.0,206.0,190.0,565,45.3274519,-92.1645236
"Clayville, NY",870.0,62188.0,208.0,107.0,107.0,270,42.9779625,-75.2506805
"Clayville, RI",367.0,194450.0,0.0,47.0,125.0,311,41.7691651,-71.6921057
"Cle Elum, WA",6607.0,57458.0,1070.0,266.0,942.0,2003,47.194638,-120.9528425
"Clear Lake, IA",9374.0,60503.0,1559.0,924.0,1574.0,6929,43.1350899,-93.3736509
"Clear Lake, MN",5337.0,84034.0,965.0,501.0,736.0,631,45.44656420000001,-93.998966
"Clear Lake, SD",3914.0,66736.0,1002.0,290.0,434.0,1181,44.7562899,-96.6902393
"Clear Lake, SD",3914.0,66736.0,1002.0,290.0,434.0,83,45.70436,-97.3558012
"Clear Lake, WI",3107.0,60595.0,934.0,257.0,245.0,161,45.2479797,-92.2678045
"Clear Spring, MD",5748.0,62412.0,1483.0,278.0,337.0,326,39.6561856,-77.930409
"Clearbrook, MN",1455.0,46375.0,294.0,170.0,199.0,523,47.6962437,-95.4292736
"Clearfield, IA",568.0,62188.0,152.0,53.0,79.0,357,40.8006363,-94.4830182
"Clearfield, PA",13264.0,47060.0,4089.0,916.0,1130.0,5423,41.0214976,-78.43939809999998
"Clearfield, UT",66410.0,71891.0,9773.0,4013.0,5969.0,31179,41.0970119,-112.0179202
"Clearlake Oaks, CA",3751.0,46500.0,802.0,306.0,321.0,2286,39.02060529999999,-122.6569387
"Clearlake, CA",15696.0,31793.0,3216.0,760.0,579.0,14323,38.9600452,-122.6332316
"Clearmont, MO",292.0,60938.0,97.0,6.0,36.0,170,40.5079958,-95.03258
"Clearmont, WY",295.0,50500.0,72.0,45.0,31.0,147,44.63985020000001,-106.3812967
"Clearwater, FL",186102.0,50543.88888888889,34656.0,12966.0,26106.0,38559,27.9802885,-82.76816579999998
"Clearwater, KS",4703.0,83304.0,745.0,335.0,618.0,2544,37.5095844,-97.4974823
"Clearwater, MN",5052.0,78803.0,1032.0,550.0,563.0,1865,45.4098794,-94.0445598
"Clearwater, NE",513.0,49766.0,124.0,61.0,27.0,397,42.1706976,-98.1897266
"Cleaton, KY",144.0,13589.0,37.0,12.0,0.0,246,37.2514212,-87.0906303
"Cleburne, TX",43749.0,56652.0,8553.0,1999.0,3853.0,30354,32.3539593,-97.4109014
"Cleghorn, IA",405.0,61667.0,99.0,59.0,30.0,191,42.81251810000001,-95.7127301
"Clementon, NJ",44369.0,53799.0,9436.0,2376.0,5023.0,4865,39.8026811,-74.983763
"Clements, MN",348.0,57500.0,94.0,19.0,18.0,153,44.3800594,-95.0547511
"Clemmons, NC",28334.0,81919.0,3467.0,2277.0,5679.0,20059,36.033223,-80.3866993
"Clemson, SC",20422.0,-333311145.5,778.0,344.0,1739.0,13406,34.68382620000001,-82.8124067
"Clendenin, WV",5061.0,36968.0,1456.0,224.0,281.0,881,38.4844694,-81.3515118
"Cleo Springs, OK",512.0,54615.0,166.0,31.0,40.0,337,36.4046664,-98.4401138
"Clermont, FL",102215.0,64711.666666666664,16489.0,8889.0,14900.0,23186,28.5332918,-81.720238
"Clermont, GA",4321.0,57722.0,899.0,212.0,359.0,1270,34.4801337,-83.77040129999997
"Clermont, IA",667.0,51750.0,206.0,75.0,51.0,551,42.9995912,-91.6522518
"Cleveland, AL",3856.0,47212.0,732.0,372.0,172.0,1313,34.0021791,-86.5613518
"Cleveland, GA",25280.0,51559.0,4385.0,1550.0,2142.0,3551,34.5970396,-83.7607072
"Cleveland, MN",1717.0,80822.0,309.0,182.0,203.0,722,44.3235685,-93.835407
"Cleveland, MO",2123.0,84679.0,395.0,82.0,303.0,690,38.6778014,-94.6000016
"Cleveland, MS",17044.0,33602.0,1851.0,776.0,1897.0,9716,33.7440081,-90.7284763
"Cleveland, NC",5814.0,52727.0,1242.0,489.0,410.0,894,35.733065,-80.681679
"Cleveland, ND",270.0,52500.0,106.0,30.0,10.0,85,46.891027,-99.1195616
"Cleveland, NY",2224.0,65750.0,582.0,275.0,116.0,750,43.2400016,-75.88420190000002
"Cleveland, OH",746275.0,-22949528.379310343,131654.0,40736.0,78298.0,385553,41.4784623,-81.67943509999998
"Cleveland, OK",7293.0,51063.0,1952.0,468.0,616.0,2,36.3109078,-96.4721798
"Cleveland, TN",94637.0,50631.0,15879.0,5379.0,9144.0,44440,35.1824169,-84.8697325
"Cleveland, TX",37712.0,47679.0,6981.0,1147.0,1743.0,8483,30.3382149,-95.0902829
"Cleveland, UT",912.0,72976.0,125.0,75.0,37.0,336,39.3494692,-110.8554991
"Cleveland, VA",2283.0,33405.0,529.0,87.0,55.0,202,36.9436687,-82.15263159999998
"Cleveland, WI",2661.0,74100.0,514.0,221.0,320.0,1475,43.9180638,-87.7498089
"Clever, MO",5965.0,56938.0,822.0,376.0,619.0,2302,37.03310870000001,-93.4708109
"Cleves, OH",13705.0,79908.0,2700.0,744.0,1930.0,3232,39.1645826,-84.7413775
"Clewiston, FL",19761.0,40883.0,3686.0,1112.0,852.0,6859,26.7528108,-80.9391942
"Cliff, NM",253.0,32465.0,94.0,20.0,12.0,292,32.965956899999995,-108.6175941
"Clifford, IN",260.0,64375.0,51.0,29.0,7.0,236,39.2826378,-85.8690512
"Clifford, MI",1128.0,49327.0,313.0,99.0,21.0,326,43.3151286,-83.17960009999999
"Clifford, ND",238.0,110147.0,53.0,46.0,29.0,45,47.3482002,-97.4100937
"Cliffside Park, NJ",25126.0,72633.0,4912.0,947.0,5157.0,22361,40.8220503,-73.9879322
"Clifton Forge, VA",5924.0,42803.0,1560.0,504.0,454.0,3571,37.8233205,-79.8251938
"Clifton Heights, PA",23445.0,60724.0,5847.0,1583.0,2965.0,6697,39.93014960000001,-75.29582679999999
"Clifton Hill, MO",401.0,44423.0,125.0,11.0,21.0,115,39.4386186,-92.6636812
"Clifton Springs, NY",5875.0,62970.0,1153.0,600.0,613.0,1914,42.96083170000001,-77.1347885
"Clifton, AZ",3361.0,49713.0,600.0,149.0,129.0,2998,33.0295683,-109.284037
"Clifton, CO",14080.0,41250.0,2632.0,664.0,804.0,19959,39.0767081,-108.4604687
"Clifton, ID",643.0,50417.0,91.0,22.0,68.0,182,42.1872862,-112.0045959
"Clifton, IL",2053.0,57734.0,546.0,175.0,172.0,1078,40.9347263,-87.9343298
"Clifton, KS",966.0,48482.0,175.0,66.0,112.0,506,39.5680948,-97.2805516
"Clifton, NJ",84375.0,80635.25,17808.0,3600.0,13055.0,84886,40.8621369,-74.1603932
"Clifton, OH",85.0,67750.0,7.0,6.0,13.0,172,39.7972259,-83.8254227
"Clifton, SC",324.0,30313.0,26.0,29.0,0.0,577,34.986051399999994,-81.82039540000002
"Clifton, TN",3790.0,43911.0,1014.0,171.0,94.0,2590,35.377286,-87.9911725
"Clifton, TX",7431.0,55923.0,1451.0,629.0,982.0,1744,31.782037,-97.5818792
"Clifton, VA",15114.0,176635.0,1135.0,422.0,3834.0,324,38.7801282,-77.38598990000001
"Climax Springs, MO",1252.0,51538.0,512.0,42.0,63.0,154,38.10040220000001,-93.0528074
"Climax, MI",2564.0,62123.0,522.0,228.0,275.0,803,42.238303,-85.33602059999998
"Climax, MN",550.0,78542.0,109.0,26.0,93.0,264,47.6095132,-96.8122398
"Clinchco, VA",1154.0,29848.0,326.0,83.0,63.0,332,37.1573975,-82.3544616
"Clint, TX",5891.0,39440.0,732.0,222.0,398.0,1075,31.5901951,-106.22867859999998
"Clinton, AR",7837.0,36786.0,1732.0,346.0,435.0,2463,35.5789806,-92.4557346
"Clinton, CT",12928.0,79673.0,2203.0,900.0,2234.0,3355,41.2764048,-72.52899980000002
"Clinton, IA",26721.0,44967.0,6452.0,1806.0,2351.0,22791,41.8423652,-90.2428158
"Clinton, IL",9742.0,53904.0,2037.0,509.0,1122.0,6542,40.1467018,-88.9625098
"Clinton, IN",9597.0,47807.0,2485.0,826.0,795.0,4489,39.6609651,-87.40465920000003
"Clinton, KY",2898.0,38359.0,628.0,169.0,205.0,999,36.6657926,-88.99408940000002
"Clinton, LA",5183.0,60083.0,1525.0,230.0,472.0,606,30.861679100000003,-91.0154536
"Clinton, MA",13935.0,67634.0,2496.0,1118.0,2035.0,7585,42.4188799,-71.68620209999997
"Clinton, MD",38220.0,112388.0,6928.0,2110.0,4746.0,36303,38.7509174,-76.90266899999997
"Clinton, ME",3367.0,49750.0,933.0,167.0,414.0,1429,44.6446289,-69.4886563
"Clinton, MI",4807.0,64824.0,865.0,378.0,583.0,2194,42.0682785,-83.9657318
"Clinton, MN",728.0,48214.0,211.0,63.0,51.0,429,45.4669354,-96.4426443
"Clinton, MO",12954.0,45388.0,3083.0,680.0,1228.0,8129,38.3711721,-93.76814240000002
"Clinton, MS",25761.0,63222.0,2127.0,1849.0,4213.0,18431,32.3544433,-90.341893
"Clinton, MT",2450.0,62500.0,422.0,249.0,309.0,1130,46.7717738,-113.7204568
"Clinton, NC",27372.0,37234.0,4270.0,1649.0,1667.0,6385,35.000429700000005,-78.33153990000002
"Clinton, NJ",6446.0,102760.0,757.0,184.0,1418.0,2626,40.6367943,-74.9152048
"Clinton, NY",11282.0,70317.0,1526.0,899.0,1621.0,1943,43.04886629999999,-75.3784617
"Clinton, OH",9353.0,80027.0,2354.0,860.0,1165.0,473,40.928138,-81.6311375
"Clinton, OK",10092.0,48034.0,1887.0,415.0,873.0,8460,35.50710120000001,-98.9705034
"Clinton, PA",3406.0,69387.0,825.0,229.0,362.0,446,40.4922648,-80.2969946
"Clinton, SC",15171.0,38240.0,2681.0,827.0,1246.0,8052,34.4781713,-81.86296750000002
"Clinton, TN",26979.0,51736.0,5433.0,1632.0,1807.0,8201,36.0973382,-84.1289452
"Clinton, WA",6002.0,78650.0,800.0,469.0,1207.0,1043,47.9623806,-122.3522736
"Clinton, WI",4032.0,69514.0,927.0,302.0,307.0,2178,42.5574739,-88.8680547
"Clintondale, NY",1453.0,97039.0,470.0,41.0,219.0,942,41.6902688,-74.0426535
"Clintonville, PA",448.0,50263.0,155.0,14.0,28.0,506,41.2010254,-79.8745124
"Clintonville, WI",8673.0,53005.0,2142.0,816.0,995.0,4295,44.62212020000001,-88.7517141
"Clintwood, VA",6449.0,32853.0,1291.0,342.0,443.0,1213,37.1529943,-82.4598917
"Clio, AL",2897.0,24413.0,575.0,63.0,112.0,1306,31.7085157,-85.6110391
"Clio, CA",274.0,70455.0,27.0,55.0,62.0,67,39.754217,-120.566728
"Clio, IA",162.0,82917.0,68.0,0.0,22.0,83,40.6360297,-93.4513916
"Clio, MI",21380.0,53528.0,4819.0,2055.0,1565.0,2588,43.1769511,-83.73563309999999
"Clio, SC",2111.0,33971.0,491.0,83.0,126.0,449,34.5790463,-79.5460592
"Clipper Mills, CA",72.0,-666666666.0,16.0,18.0,0.0,173,39.5324242,-121.1665519
"Clitherall, MN",618.0,49125.0,149.0,82.0,102.0,116,46.2736803,-95.6333155
"Clive, IA",17186.0,104554.0,1164.0,1042.0,4243.0,17560,41.61324260000001,-93.7978713
"Clontarf, MN",220.0,66667.0,43.0,19.0,22.0,162,45.3825808,-95.682935
"Cloquet, MN",17088.0,56717.0,2922.0,1693.0,1763.0,9614,46.7250701,-92.5013297
"Closter, NJ",8565.0,140357.0,1047.0,288.0,2249.0,8960,40.9728898,-73.9603147
"Cloudcroft, NM",1656.0,51500.0,278.0,91.0,240.0,671,32.9521898,-105.7324355
"Clover, SC",36944.0,70345.0,5504.0,2615.0,5291.0,6442,35.1135755,-81.219813
"Clover, VA",1208.0,34654.0,215.0,95.0,42.0,200,36.84024,-78.7218537
"Cloverdale, CA",10984.0,73235.0,1226.0,920.0,1632.0,8848,38.7961178,-123.0150504
"Cloverdale, IN",5332.0,63438.0,1403.0,281.0,313.0,2147,39.5212214,-86.79868909999998
"Cloverdale, OH",2065.0,83550.0,700.0,200.0,159.0,169,41.0192904,-84.299766
"Cloverdale, OR",1867.0,35517.0,417.0,78.0,103.0,262,45.2006075,-123.8841646
"Cloverdale, VA",769.0,50634.0,200.0,41.0,42.0,2884,37.356145,-79.90357850000002
"Cloverport, KY",1531.0,34405.0,428.0,40.0,54.0,806,37.8309128,-86.63015859999999
"Clovis, CA",123666.0,85953.33333333333,13665.0,8615.0,17538.0,101798,36.8289665,-119.6849217
"Clovis, NM",46510.0,44811.0,6240.0,2755.0,3613.0,35343,34.4385688,-103.1941935
"Clute, TX",16228.0,62892.0,2609.0,925.0,1349.0,12007,29.0258506,-95.3982294
"Clutier, IA",572.0,62500.0,99.0,41.0,57.0,213,42.0793263,-92.4035595
"Clyde Park, MT",496.0,44632.0,109.0,24.0,48.0,311,45.8839439,-110.6057864
"Clyde, KS",1173.0,48864.0,249.0,117.0,110.0,670,39.5918304,-97.4002123
"Clyde, MO",130.0,48125.0,33.0,11.0,8.0,84,40.26620379999999,-94.6696035
"Clyde, NC",10401.0,53177.0,1972.0,1046.0,1220.0,1267,35.5330766,-82.91080649999998
"Clyde, NY",4141.0,52270.0,794.0,265.0,147.0,2089,43.0841623,-76.8704301
"Clyde, OH",9950.0,60106.0,2596.0,797.0,705.0,5394,41.3035849,-82.97942459999999
"Clyde, TX",7573.0,50409.0,1664.0,323.0,800.0,3601,32.4055858,-99.5039178
"Clyman, WI",395.0,59375.0,105.0,26.0,26.0,424,43.31165120000001,-88.72306979999998
"Clymer, PA",3429.0,43087.0,1037.0,175.0,343.0,1345,40.6685023,-79.0136046
"Coachella, CA",45477.0,34436.0,11676.0,691.0,900.0,42860,33.6905454,-116.143054
"Coahoma, TX",1183.0,55278.0,190.0,65.0,101.0,964,32.2956235,-101.308884
"Coal Center, PA",2439.0,58846.0,570.0,109.0,214.0,126,40.07003270000001,-79.9011665
"Coal City, IL",9083.0,74300.0,1768.0,682.0,665.0,5469,41.2789026,-88.28005300000002
"Coal City, WV",2074.0,31490.0,714.0,83.0,32.0,1132,37.6765895,-81.2141179
"Coal Creek, CO",612.0,41250.0,164.0,18.0,22.0,1934,39.9046933,-105.3721357
"Coal Creek, CO",612.0,41250.0,164.0,18.0,22.0,351,38.36217070000001,-105.1421992
"Coal Hill, AR",1186.0,37202.0,285.0,39.0,74.0,868,35.4379902,-93.6651904
"Coal Valley, IL",5842.0,75987.0,1185.0,416.0,989.0,3201,41.438418,-90.439385
"Coaldale, CO",387.0,76094.0,126.0,0.0,19.0,141,38.3557381,-105.8130839
"Coaldale, PA",4490.0,36953.0,1208.0,288.0,312.0,151,40.1673592,-78.21661040000002
"Coaldale, PA",4490.0,36953.0,1208.0,288.0,312.0,2256,40.81974,-75.91610159999998
"Coalfield, TN",175.0,29353.0,5.0,0.0,0.0,2329,36.0228352,-84.442491
"Coalgate, OK",4126.0,40259.0,951.0,99.0,275.0,1706,34.5322709,-96.221205
"Coalinga, CA",18336.0,61038.0,2049.0,789.0,858.0,13420,36.1330557,-120.3390286
"Coalmont, TN",1550.0,34559.0,306.0,120.0,115.0,717,35.344173,-85.7137808
"Coalport, PA",2063.0,42589.0,759.0,147.0,133.0,521,40.7463643,-78.5296525
"Coalton, OH",265.0,39375.0,61.0,24.0,16.0,479,39.11170960000001,-82.6108729
"Coalville, UT",4366.0,85976.0,740.0,272.0,518.0,1077,40.9072649,-111.4214209
"Coamo, PR",38812.0,19700.0,10135.0,2151.0,4591.0,11326,18.0783016,-66.363161
"Coarsegold, CA",11982.0,71047.0,2103.0,1119.0,1431.0,4315,37.2391838,-119.7009723
"Coatesville, IN",5545.0,69219.0,983.0,400.0,506.0,682,39.6884487,-86.6693884
"Coatesville, PA",54617.0,75143.0,10794.0,2751.0,7979.0,13594,39.9851524,-75.81900040000002
"Coats, KS",294.0,56625.0,23.0,17.0,42.0,85,37.51078,-98.8253384
"Coats, NC",6366.0,46883.0,1152.0,358.0,388.0,2534,35.4069294,-78.6684293
"Coatsburg, IL",501.0,59615.0,133.0,65.0,47.0,147,40.0324558,-91.1603712
"Cobb Island, MD",646.0,95417.0,231.0,43.0,8.0,1241,38.2636975,-76.8489863
"Cobb, CA",1350.0,79667.0,211.0,229.0,125.0,1699,38.8353286,-122.7224347
"Cobb, WI",620.0,54643.0,144.0,44.0,75.0,471,42.9660818,-90.3295737
"Cobbtown, GA",988.0,32083.0,196.0,60.0,85.0,358,32.27922150000001,-82.1383339
"Cobden, IL",3219.0,55433.0,642.0,209.0,431.0,996,37.5333917,-89.2543525
"Cobleskill, NY",8129.0,55198.0,1305.0,684.0,805.0,3358,42.6790021,-74.48523359999999
"Cochiti Lake, NM",487.0,55568.0,45.0,35.0,112.0,617,35.64783470000001,-106.3425372
"Cochran, GA",13180.0,45435.0,2704.0,702.0,729.0,2682,32.3873465,-83.35139740000002
"Cochrane, WI",1882.0,60688.0,556.0,210.0,249.0,445,44.2270921,-91.8410752
"Cochranton, PA",5365.0,60042.0,1725.0,337.0,426.0,1092,41.519097,-80.0469906
"Cochranville, PA",5351.0,87727.0,1226.0,229.0,850.0,690,39.8886136,-75.9298097
"Cockeysville, MD",24396.0,71256.0,2679.0,1050.0,5621.0,22945,39.4780035,-76.63079609999998
"Cocoa Beach, FL",13771.0,59874.0,2053.0,904.0,3126.0,11911,28.3291401,-80.6275395
"Cocoa, FL",66001.0,48459.666666666664,12374.0,5975.0,5885.0,19448,28.3766425,-80.763306
"Cody, NE",414.0,40833.0,76.0,48.0,55.0,152,42.9377459,-101.2489275
"Cody, WY",15212.0,64366.0,2221.0,1360.0,2690.0,9250,44.520683700000006,-109.0546886
"Coeburn, VA",8092.0,39811.0,1690.0,386.0,390.0,1951,36.945648,-82.4703981
"Coffee Creek, MT",18.0,81250.0,10.0,5.0,0.0,18,47.3489775,-110.0826169
"Coffee Springs, AL",1481.0,50625.0,317.0,117.0,52.0,180,31.1658359,-85.9108977
"Coffeen, IL",927.0,33594.0,322.0,48.0,22.0,675,39.08824370000001,-89.3897595
"Coffeeville, MS",3004.0,39714.0,532.0,179.0,224.0,750,33.9764936,-89.6844823
"Coffey, MO",295.0,33750.0,56.0,26.0,4.0,165,40.1055475,-94.0065384
"Coffeyville, KS",11936.0,40258.0,1887.0,791.0,1208.0,8754,37.032717,-95.6515798
"Coffman Cove, AK",213.0,41250.0,78.0,17.0,17.0,227,56.00166070000001,-132.8419656
"Cofield, NC",687.0,42550.0,134.0,25.0,37.0,413,36.3566893,-76.910517
"Coggon, IA",2049.0,76406.0,434.0,205.0,206.0,685,42.2792732,-91.5298495
"Cogswell, ND",268.0,51875.0,64.0,14.0,32.0,105,46.1069674,-97.7842304
"Cohasset, MN",3253.0,65597.0,584.0,247.0,511.0,2251,47.2424471,-93.6642296
"Cohocton, NY",1957.0,55500.0,419.0,227.0,140.0,838,42.4999299,-77.5000062
"Cohoes, NY",21355.0,58199.0,3619.0,1842.0,2694.0,16415,42.772867,-73.7077593
"Cohutta, GA",7158.0,66208.0,1013.0,506.0,506.0,696,34.9552516,-84.96715350000002
"Coin, IA",447.0,65804.0,133.0,31.0,30.0,191,40.6558281,-95.2348784
"Coinjock, NC",827.0,54149.0,96.0,16.0,186.0,376,36.3509645,-75.95201109999998
"Cokato, MN",5371.0,62765.0,1114.0,447.0,419.0,2405,45.0767206,-94.1875477
"Cokeburg, PA",528.0,35875.0,200.0,28.0,44.0,632,40.0999542,-80.0655129
"Coker, AL",3416.0,52762.0,628.0,148.0,248.0,716,33.2437518,-87.68132920000002
"Cokeville, WY",1102.0,59679.0,97.0,147.0,57.0,282,42.0793075,-110.9518685
"Colbert, GA",7391.0,65051.0,1325.0,642.0,648.0,653,34.0372444,-83.21310159999999
"Colbert, OK",3302.0,51058.0,822.0,158.0,225.0,1150,33.8583592,-96.5076317
"Colby, KS",6500.0,60694.0,941.0,623.0,646.0,5125,39.38480120000001,-101.0452112
"Colby, WI",3669.0,55968.0,910.0,213.0,158.0,1794,44.9113267,-90.3157286
